group,index,label,prediction,baseline_prediction,attr_sum,diff,completeness_error
low,0,0.0,5.262582302093506,119.21390533447266,-119.30619812011719,-113.95132303237915,-5.354875087738037
low,1,0.0,5.24321174621582,119.21390533447266,-115.37947082519531,-113.97069358825684,-1.4087772369384766
low,2,0.07000000029802322,4.788576602935791,119.21390533447266,-114.94091796875,-114.42532873153687,-0.5155892372131348
low,3,0.11999999731779099,4.141147136688232,119.21390533447266,-116.86888122558594,-115.07275819778442,-1.7961230278015137
low,4,0.2199999988079071,5.052558422088623,119.21390533447266,-117.01251220703125,-114.16134691238403,-2.851165294647217
low,5,0.30000001192092896,5.077599048614502,119.21390533447266,-117.55186462402344,-114.13630628585815,-3.415558338165283
low,6,0.3400000035762787,5.072683334350586,119.21390533447266,-116.44203186035156,-114.14122200012207,-2.300809860229492
medium,0,156.8300018310547,162.66702270507812,119.21390533447266,42.49449157714844,43.45311737060547,-0.9586257934570312
medium,1,156.86000061035156,151.86415100097656,119.21390533447266,32.600547790527344,32.650245666503906,-0.0496978759765625
medium,2,156.89999389648438,143.2247314453125,119.21390533447266,23.968660354614258,24.010826110839844,-0.04216575622558594
medium,3,156.99000549316406,167.78530883789062,119.21390533447266,48.75102233886719,48.57140350341797,0.17961883544921875
medium,4,157.0399932861328,139.73306274414062,119.21390533447266,20.329357147216797,20.51915740966797,-0.18980026245117188
medium,5,157.25999450683594,161.0938720703125,119.21390533447266,40.83452224731445,41.879966735839844,-1.0454444885253906
medium,6,157.33999633789062,153.97836303710938,119.21390533447266,34.162818908691406,34.76445770263672,-0.6016387939453125
high,0,1082.6199951171875,1078.82861328125,119.21390533447266,953.60009765625,959.6147079467773,-6.014610290527344
high,1,1085.4000244140625,1051.3782958984375,119.21390533447266,924.3707275390625,932.1643905639648,-7.793663024902344
high,2,1103.5999755859375,1072.2374267578125,119.21390533447266,948.925537109375,953.0235214233398,-4.097984313964844
high,3,1141.780029296875,961.1094360351562,119.21390533447266,835.8549194335938,841.8955307006836,-6.040611267089844
high,4,1144.1500244140625,1079.4337158203125,119.21390533447266,955.6412963867188,960.2198104858398,-4.578514099121094
high,5,1188.1700439453125,1101.340576171875,119.21390533447266,975.4527587890625,982.1266708374023,-6.673912048339844
high,6,1210.8900146484375,1068.677001953125,119.21390533447266,945.0465087890625,949.4630966186523,-4.416587829589844
best,0,34.58000183105469,34.58056640625,119.21390533447266,-84.97669219970703,-84.63333892822266,-0.343353271484375
best,1,125.81999969482422,125.82240295410156,119.21390533447266,6.175076484680176,6.608497619628906,-0.43342113494873047
best,2,12.649999618530273,12.644899368286133,119.21390533447266,-104.94966888427734,-106.56900596618652,1.6193370819091797
best,3,22.209999084472656,22.200828552246094,119.21390533447266,-97.52239990234375,-97.01307678222656,-0.5093231201171875
best,4,17.280000686645508,17.268795013427734,119.21390533447266,-102.12701416015625,-101.94511032104492,-0.18190383911132812
best,5,111.37000274658203,111.3775634765625,119.21390533447266,-7.856906890869141,-7.836341857910156,-0.020565032958984375
best,6,153.1699981689453,153.1577606201172,119.21390533447266,33.63109588623047,33.94385528564453,-0.3127593994140625
worst,0,852.72998046875,573.332275390625,119.21390533447266,451.66766357421875,454.11837005615234,-2.4507064819335938
worst,1,825.5999755859375,607.3988647460938,119.21390533447266,481.96240234375,488.1849594116211,-6.222557067871094
worst,2,271.6199951171875,458.813720703125,119.21390533447266,338.5240783691406,339.59981536865234,-1.0757369995117188
worst,3,213.57000732421875,399.34698486328125,119.21390533447266,279.0393371582031,280.1330795288086,-1.0937423706054688
worst,4,799.489990234375,617.8923950195312,119.21390533447266,496.0860595703125,498.6784896850586,-2.5924301147460938
worst,5,1141.780029296875,961.1094360351562,119.21390533447266,835.8549194335938,841.8955307006836,-6.040611267089844
worst,6,1056.31005859375,885.6764526367188,119.21390533447266,760.7459716796875,766.4625473022461,-5.716575622558594
random,0,77.52999877929688,67.80760955810547,119.21390533447266,-51.07107925415039,-51.40629577636719,0.3352165222167969
random,1,389.1600036621094,430.94921875,119.21390533447266,311.00469970703125,311.73531341552734,-0.7306137084960938
random,2,98.58999633789062,98.19772338867188,119.21390533447266,-21.17007064819336,-21.01618194580078,-0.15388870239257812
random,3,350.8999938964844,387.2480163574219,119.21390533447266,266.712890625,268.0341110229492,-1.3212203979492188
random,4,72.58999633789062,70.57830047607422,119.21390533447266,-48.491371154785156,-48.63560485839844,0.14423370361328125
random,5,590.7000122070312,614.0387573242188,119.21390533447266,494.79241943359375,494.8248519897461,-0.03243255615234375
random,6,172.75,188.30679321289062,119.21390533447266,66.5427017211914,69.09288787841797,-2.5501861572265625
